userUUID,audienceUUID
user-0,audience-0
user-3,audience-0
user-4,audience-0
user-9,audience-0
user-13,audience-0
user-20,audience-0
user-22,audience-0
user-29,audience-0
user-30,audience-0
user-36,audience-0
user-37,audience-0
user-40,audience-0
user-51,audience-0
user-55,audience-0
user-63,audience-0
user-64,audience-0
user-76,audience-0
user-77,audience-0
user-81,audience-0
user-82,audience-0
user-84,audience-0
user-86,audience-0
user-102,audience-1
user-104,audience-1
user-109,audience-1
user-111,audience-1
user-112,audience-1
user-114,audience-1
user-116,audience-1
user-122,audience-1
user-133,audience-1
user-136,audience-1
user-141,audience-1
user-142,audience-1
user-147,audience-1
user-152,audience-1
user-154,audience-1
user-155,audience-1
user-156,audience-1
user-158,audience-1
user-167,audience-1
user-168,audience-1
user-171,audience-1
user-176,audience-1
user-180,audience-1
user-187,audience-1
user-191,audience-1
user-194,audience-1
user-195,audience-1
user-204,audience-2
user-205,audience-2
user-207,audience-2
user-213,audience-2
user-220,audience-2
user-221,audience-2
user-223,audience-2
user-230,audience-2
user-238,audience-2
user-239,audience-2
user-246,audience-2
user-247,audience-2
user-252,audience-2
user-253,audience-2
user-256,audience-2
user-259,audience-2
user-262,audience-2
user-264,audience-2
user-268,audience-2
user-269,audience-2
user-277,audience-2
user-287,audience-2
user-293,audience-2
user-296,audience-2
user-299,audience-2
user-302,audience-3
user-304,audience-3
user-309,audience-3
user-310,audience-3
user-320,audience-3
user-321,audience-3
user-322,audience-3
user-326,audience-3
user-332,audience-3
user-334,audience-3
user-337,audience-3
user-338,audience-3
user-352,audience-3
user-357,audience-3
user-359,audience-3
user-361,audience-3
user-364,audience-3
user-367,audience-3
user-369,audience-3
user-370,audience-3
user-371,audience-3
user-376,audience-3
user-379,audience-3
user-383,audience-3
user-387,audience-3
user-390,audience-3
user-391,audience-3
user-392,audience-3
user-394,audience-3
user-399,audience-3
user-417,audience-4
user-420,audience-4
user-423,audience-4
user-424,audience-4
user-428,audience-4
user-430,audience-4
user-432,audience-4
user-434,audience-4
user-440,audience-4
user-443,audience-4
user-444,audience-4
user-448,audience-4
user-449,audience-4
user-450,audience-4
user-457,audience-4
user-458,audience-4
user-471,audience-4
user-472,audience-4
user-489,audience-4
user-504,audience-5
user-505,audience-5
user-515,audience-5
user-520,audience-5
user-523,audience-5
user-524,audience-5
user-531,audience-5
user-533,audience-5
user-535,audience-5
user-537,audience-5
user-542,audience-5
user-543,audience-5
user-557,audience-5
user-574,audience-5
user-576,audience-5
user-582,audience-5
user-589,audience-5
user-591,audience-5
user-592,audience-5
user-593,audience-5
user-594,audience-5
user-596,audience-5
user-597,audience-5
user-600,audience-6
user-602,audience-6
user-604,audience-6
user-612,audience-6
user-615,audience-6
user-621,audience-6
user-622,audience-6
user-623,audience-6
user-629,audience-6
user-638,audience-6
user-640,audience-6
user-652,audience-6
user-655,audience-6
user-656,audience-6
user-659,audience-6
user-661,audience-6
user-668,audience-6
user-669,audience-6
user-686,audience-6
user-690,audience-6
user-695,audience-6
user-698,audience-6
user-702,audience-7
user-703,audience-7
user-704,audience-7
user-706,audience-7
user-710,audience-7
user-716,audience-7
user-718,audience-7
user-725,audience-7
user-726,audience-7
user-728,audience-7
user-730,audience-7
user-731,audience-7
user-737,audience-7
user-738,audience-7
user-747,audience-7
user-748,audience-7
user-753,audience-7
user-755,audience-7
user-761,audience-7
user-766,audience-7
user-769,audience-7
user-773,audience-7
user-774,audience-7
user-775,audience-7
user-776,audience-7
user-777,audience-7
user-778,audience-7
user-782,audience-7
user-784,audience-7
user-803,audience-8
user-804,audience-8
user-805,audience-8
user-812,audience-8
user-818,audience-8
user-825,audience-8
user-826,audience-8
user-827,audience-8
user-829,audience-8
user-830,audience-8
user-831,audience-8
user-842,audience-8
user-844,audience-8
user-845,audience-8
user-849,audience-8
user-855,audience-8
user-863,audience-8
user-866,audience-8
user-871,audience-8
user-877,audience-8
user-880,audience-8
user-882,audience-8
user-884,audience-8
user-885,audience-8
user-897,audience-8
user-909,audience-9
user-916,audience-9
user-919,audience-9
user-921,audience-9
user-922,audience-9
user-923,audience-9
user-927,audience-9
user-928,audience-9
user-931,audience-9
user-932,audience-9
user-937,audience-9
user-939,audience-9
user-947,audience-9
user-949,audience-9
user-951,audience-9
user-954,audience-9
user-963,audience-9
user-965,audience-9
user-972,audience-9
user-974,audience-9
user-982,audience-9
user-984,audience-9
user-991,audience-9
user-992,audience-9
user-993,audience-9
user-1000,audience-10
user-1012,audience-10
user-1013,audience-10
user-1019,audience-10
user-1022,audience-10
user-1025,audience-10
user-1026,audience-10
user-1027,audience-10
user-1032,audience-10
user-1033,audience-10
user-1035,audience-10
user-1036,audience-10
user-1038,audience-10
user-1040,audience-10
user-1048,audience-10
user-1061,audience-10
user-1063,audience-10
user-1066,audience-10
user-1068,audience-10
user-1070,audience-10
user-1071,audience-10
user-1072,audience-10
user-1073,audience-10
user-1078,audience-10
user-1079,audience-10
user-1080,audience-10
user-1081,audience-10
user-1082,audience-10
user-1090,audience-10
user-1094,audience-10
user-1096,audience-10
user-1099,audience-10
user-1101,audience-11
user-1103,audience-11
user-1110,audience-11
user-1113,audience-11
user-1117,audience-11
user-1118,audience-11
user-1119,audience-11
user-1122,audience-11
user-1131,audience-11
user-1133,audience-11
user-1142,audience-11
user-1146,audience-11
user-1147,audience-11
user-1148,audience-11
user-1153,audience-11
user-1154,audience-11
user-1157,audience-11
user-1159,audience-11
user-1160,audience-11
user-1161,audience-11
user-1166,audience-11
user-1170,audience-11
user-1174,audience-11
user-1175,audience-11
user-1182,audience-11
user-1188,audience-11
user-1192,audience-11
user-1196,audience-11
user-1201,audience-12
user-1202,audience-12
user-1204,audience-12
user-1211,audience-12
user-1214,audience-12
user-1219,audience-12
user-1220,audience-12
user-1223,audience-12
user-1224,audience-12
user-1228,audience-12
user-1230,audience-12
user-1233,audience-12
user-1238,audience-12
user-1240,audience-12
user-1242,audience-12
user-1247,audience-12
user-1259,audience-12
user-1261,audience-12
user-1262,audience-12
user-1264,audience-12
user-1268,audience-12
user-1272,audience-12
user-1281,audience-12
user-1284,audience-12
user-1285,audience-12
user-1298,audience-12
user-1299,audience-12
user-1301,audience-13
user-1305,audience-13
user-1306,audience-13
user-1307,audience-13
user-1308,audience-13
user-1313,audience-13
user-1314,audience-13
user-1318,audience-13
user-1322,audience-13
user-1327,audience-13
user-1331,audience-13
user-1337,audience-13
user-1339,audience-13
user-1350,audience-13
user-1354,audience-13
user-1356,audience-13
user-1360,audience-13
user-1363,audience-13
user-1365,audience-13
user-1367,audience-13
user-1371,audience-13
user-1373,audience-13
user-1375,audience-13
user-1381,audience-13
user-1383,audience-13
user-1392,audience-13
user-1393,audience-13
user-1401,audience-14
user-1403,audience-14
user-1406,audience-14
user-1409,audience-14
user-1413,audience-14
user-1414,audience-14
user-1415,audience-14
user-1419,audience-14
user-1421,audience-14
user-1423,audience-14
user-1425,audience-14
user-1426,audience-14
user-1427,audience-14
user-1428,audience-14
user-1430,audience-14
user-1433,audience-14
user-1434,audience-14
user-1447,audience-14
user-1451,audience-14
user-1454,audience-14
user-1458,audience-14
user-1464,audience-14
user-1468,audience-14
user-1469,audience-14
user-1470,audience-14
user-1478,audience-14
user-1485,audience-14
user-1487,audience-14
user-1490,audience-14
user-1491,audience-14
user-1492,audience-14
user-1493,audience-14
user-1494,audience-14
user-1496,audience-14
user-1498,audience-14
user-1503,audience-15
user-1504,audience-15
user-1509,audience-15
user-1516,audience-15
user-1518,audience-15
user-1519,audience-15
user-1522,audience-15
user-1525,audience-15
user-1526,audience-15
user-1529,audience-15
user-1532,audience-15
user-1533,audience-15
user-1536,audience-15
user-1538,audience-15
user-1545,audience-15
user-1548,audience-15
user-1553,audience-15
user-1557,audience-15
user-1560,audience-15
user-1562,audience-15
user-1566,audience-15
user-1568,audience-15
user-1574,audience-15
user-1575,audience-15
user-1578,audience-15
user-1582,audience-15
user-1587,audience-15
user-1590,audience-15
user-1591,audience-15
user-1595,audience-15
user-1596,audience-15
user-1609,audience-16
user-1614,audience-16
user-1617,audience-16
user-1622,audience-16
user-1623,audience-16
user-1628,audience-16
user-1632,audience-16
user-1633,audience-16
user-1636,audience-16
user-1642,audience-16
user-1643,audience-16
user-1649,audience-16
user-1652,audience-16
user-1656,audience-16
user-1663,audience-16
user-1666,audience-16
user-1673,audience-16
user-1675,audience-16
user-1676,audience-16
user-1678,audience-16
user-1684,audience-16
user-1687,audience-16
user-1697,audience-16
user-1698,audience-16
user-1699,audience-16
user-1704,audience-17
user-1707,audience-17
user-1710,audience-17
user-1711,audience-17
user-1718,audience-17
user-1723,audience-17
user-1727,audience-17
user-1729,audience-17
user-1733,audience-17
user-1734,audience-17
user-1759,audience-17
user-1765,audience-17
user-1775,audience-17
user-1779,audience-17
user-1782,audience-17
user-1789,audience-17
user-1795,audience-17
user-1801,audience-18
user-1806,audience-18
user-1819,audience-18
user-1821,audience-18
user-1822,audience-18
user-1823,audience-18
user-1827,audience-18
user-1832,audience-18
user-1836,audience-18
user-1838,audience-18
user-1839,audience-18
user-1850,audience-18
user-1854,audience-18
user-1862,audience-18
user-1866,audience-18
user-1868,audience-18
user-1872,audience-18
user-1874,audience-18
user-1879,audience-18
user-1880,audience-18
user-1882,audience-18
user-1888,audience-18
user-1889,audience-18
user-1896,audience-18
user-1898,audience-18
user-1908,audience-19
user-1920,audience-19
user-1921,audience-19
user-1922,audience-19
user-1928,audience-19
user-1937,audience-19
user-1940,audience-19
user-1942,audience-19
user-1943,audience-19
user-1949,audience-19
user-1951,audience-19
user-1952,audience-19
user-1954,audience-19
user-1966,audience-19
user-1967,audience-19
user-1972,audience-19
user-1979,audience-19
user-1984,audience-19
user-1985,audience-19
user-1988,audience-19
user-1990,audience-19
user-2002,audience-20
user-2010,audience-20
user-2014,audience-20
user-2021,audience-20
user-2024,audience-20
user-2027,audience-20
user-2028,audience-20
user-2030,audience-20
user-2039,audience-20
user-2044,audience-20
user-2058,audience-20
user-2061,audience-20
user-2064,audience-20
user-2069,audience-20
user-2078,audience-20
user-2084,audience-20
user-2087,audience-20
user-2092,audience-20
user-2096,audience-20
user-2110,audience-21
user-2113,audience-21
user-2117,audience-21
user-2124,audience-21
user-2129,audience-21
user-2130,audience-21
user-2139,audience-21
user-2148,audience-21
user-2150,audience-21
user-2151,audience-21
user-2159,audience-21
user-2160,audience-21
user-2168,audience-21
user-2177,audience-21
user-2182,audience-21
user-2189,audience-21
user-2194,audience-21
user-2202,audience-22
user-2207,audience-22
user-2217,audience-22
user-2221,audience-22
user-2223,audience-22
user-2224,audience-22
user-2226,audience-22
user-2237,audience-22
user-2241,audience-22
user-2242,audience-22
user-2244,audience-22
user-2255,audience-22
user-2264,audience-22
user-2265,audience-22
user-2268,audience-22
user-2269,audience-22
user-2273,audience-22
user-2286,audience-22
user-2288,audience-22
user-2302,audience-23
user-2310,audience-23
user-2312,audience-23
user-2315,audience-23
user-2320,audience-23
user-2325,audience-23
user-2327,audience-23
user-2334,audience-23
user-2340,audience-23
user-2355,audience-23
user-2356,audience-23
user-2364,audience-23
user-2365,audience-23
user-2368,audience-23
user-2386,audience-23
user-2390,audience-23
user-2394,audience-23
user-2399,audience-23
user-2400,audience-24
user-2402,audience-24
user-2407,audience-24
user-2409,audience-24
user-2414,audience-24
user-2415,audience-24
user-2416,audience-24
user-2417,audience-24
user-2418,audience-24
user-2420,audience-24
user-2423,audience-24
user-2426,audience-24
user-2432,audience-24
user-2435,audience-24
user-2436,audience-24
user-2437,audience-24
user-2442,audience-24
user-2443,audience-24
user-2444,audience-24
user-2446,audience-24
user-2448,audience-24
user-2449,audience-24
user-2454,audience-24
user-2458,audience-24
user-2467,audience-24
user-2472,audience-24
user-2474,audience-24
user-2475,audience-24
user-2478,audience-24
user-2482,audience-24
user-2489,audience-24
user-2494,audience-24
user-2496,audience-24
user-2498,audience-24
user-2499,audience-24
user-2500,audience-25
user-2501,audience-25
user-2512,audience-25
user-2513,audience-25
user-2514,audience-25
user-2517,audience-25
user-2522,audience-25
user-2524,audience-25
user-2526,audience-25
user-2529,audience-25
user-2530,audience-25
user-2532,audience-25
user-2546,audience-25
user-2551,audience-25
user-2552,audience-25
user-2564,audience-25
user-2570,audience-25
user-2580,audience-25
user-2583,audience-25
user-2584,audience-25
user-2588,audience-25
user-2589,audience-25
user-2590,audience-25
